anime_id,Name,Score,Genres,Episodes
1,Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",26
5,Cowboy Bebop: Tengoku no Tobira,8.38,"Action, Sci-Fi",1
6,Trigun,8.22,"Action, Adventure, Sci-Fi",26
7,Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",26
8,Bouken Ou Beet,6.94,"Adventure, Fantasy, Supernatural",52
15,Eyeshield 21,7.92,Sports,145
16,Hachimitsu to Clover,8,"Comedy, Drama, Romance",24
17,Hungry Heart: Wild Striker,7.55,"Comedy, Slice of Life, Sports",52
18,Initial D Fourth Stage,8.16,"Action, Drama",24
19,Monster,8.87,"Drama, Mystery, Suspense",74
20,Naruto,7.99,"Action, Adventure, Fantasy",220
21,One Piece,8.69,"Action, Adventure, Fantasy",UNKNOWN
22,Tennis no Ouji-sama,7.86,Sports,178
23,Ring ni Kakero 1,6.39,"Action, Sports",12
24,School Rumble,7.89,"Comedy, Romance",26
25,Sunabouzu,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",24
26,Texhnolyze,7.76,"Action, Drama, Sci-Fi",22
27,Trinity Blood,7.29,"Action, Supernatural",24
28,Yakitate!! Japan,7.91,"Comedy, Gourmet",69
29,Zipang,7.48,"Action, Drama, Sci-Fi",26
30,Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",26
31,Neon Genesis Evangelion: Death & Rebirth,7.46,"Drama, Sci-Fi",1
32,Neon Genesis Evangelion: The End of Evangelion,8.55,"Avant Garde, Drama, Sci-Fi",1
33,Kenpuu Denki Berserk,8.56,"Action, Adventure, Drama, Fantasy, Horror",25
43,Koukaku Kidoutai,8.27,"Action, Award Winning, Mystery, Sci-Fi, Suspense",1
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,"Action, Drama, Romance",4
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,"Action, Adventure, Comedy, Romance",94
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,Drama,1
47,Akira,8.16,"Action, Adventure, Horror, Sci-Fi, Supernatural",1
48,.hack//Sign,6.95,"Adventure, Fantasy, Mystery",26
49,Aa! Megami-sama!,7.29,"Comedy, Romance, Supernatural",5
50,Aa! Megami-sama! (TV),7.32,"Comedy, Romance, Supernatural",24
51,Tenshi Kinryouku,6.27,"Action, Drama, Romance, Supernatural",3
52,Kidou Tenshi Angelic Layer,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Sports",26
53,Ai Yori Aoshi,7.11,"Comedy, Drama, Romance",24
54,Appleseed (Movie),7.06,"Action, Drama, Sci-Fi",1
55,Arc the Lad,6.51,"Action, Adventure, Fantasy, Horror, Sci-Fi",26
56,Avenger,5.86,"Adventure, Fantasy, Sci-Fi",13
